INFO  - 2013-10-08 14:41:23.750; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Neblich/Desktop/solr/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2013-10-08 14:41:23.751; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Neblich/Desktop/solr/dist/solr-velocity-4.3.0.jar' to classloader
WARN  - 2013-10-08 14:41:23.751; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: /non/existent/dir/yields/warning (resolved as: C:\Users\Neblich\Desktop\solr\example\solr\collection1\non\existent\dir\yields\warning).
INFO  - 2013-10-08 14:41:23.790; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_43
INFO  - 2013-10-08 14:41:23.842; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2013-10-08 14:41:23.843; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2013-10-08 14:41:23.848; org.apache.solr.schema.IndexSchema; Schema name=example
INFO  - 2013-10-08 14:41:23.871; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2013-10-08 14:41:23.873; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at C:\Users\Neblich\Desktop\solr\example\solr\collection1\, dataDir=C:\Users\Neblich\Desktop\solr\example\solr\collection1\data\
INFO  - 2013-10-08 14:41:23.873; org.apache.solr.core.JmxMonitoredMap; JMX monitoring is enabled. Adding Solr mbeans to JMX Server: com.sun.jmx.mbeanserver.JmxMBeanServer@56151e4a
INFO  - 2013-10-08 14:41:23.878; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2013-10-08 14:41:23.879; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2013-10-08 14:41:23.879; org.apache.solr.core.SolrCore; New index directory detected: old=null new=C:\Users\Neblich\Desktop\solr\example\solr\collection1\data\index/
INFO  - 2013-10-08 14:41:23.880; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2013-10-08 14:41:23.880; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2013-10-08 14:41:23.880; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2013-10-08 14:41:23.880; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2013-10-08 14:41:23.880; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2013-10-08 14:41:23.883; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2013-10-08 14:41:23.884; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2013-10-08 14:41:23.885; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2013-10-08 14:41:23.885; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2013-10-08 14:41:23.886; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
